table_code,geography_combinations
RM001,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla', 'wpc', 'wd'}"
RM002,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla', 'wpc', 'wd'}"
RM003,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM006,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla', 'wpc', 'wd'}"
RM008,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM009,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla', 'wpc', 'wd'}"
RM010,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla', 'wpc', 'wd'}"
RM011,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla', 'wpc', 'wd'}"
RM012,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla', 'wpc', 'wd'}"
RM014,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM015,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM016,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM017,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM018,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM019,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla', 'wpc', 'wd'}"
RM020,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla', 'wpc', 'wd'}"
RM021,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM022,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM023,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM024,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM025,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM026,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM027,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
